incident_id,year,incident_type
3897,2024,Hijacking with Misuse
3897,2024,Ransomware
3896,2024,Data theft
3895,2024,Hijacking without Misuse
3894,2024,Disruption
3894,2024,Hijacking with Misuse
3892,2024,Hijacking without Misuse
3890,2020,Data theft
3890,2020,Hijacking with Misuse
3889,2024,Disruption
3889,2024,Hijacking with Misuse
3889,2024,Ransomware
3886,2024,Hijacking with Misuse
3886,2024,Ransomware
3886,2024,Hijacking with Misuse
3886,2024,Ransomware
3885,2024,Data theft
3885,2024,Hijacking with Misuse
3884,2024,Disruption
3884,2024,Hijacking with Misuse
3881,2024,Data theft
3881,2024,Hijacking with Misuse
3880,2024,Disruption
3880,2024,Hijacking without Misuse
3877,2024,Data theft
3877,2024,Hijacking with Misuse
3876,2024,Disruption
3876,2024,Hijacking with Misuse
3876,2024,Ransomware
3873,2024,Disruption
3873,2024,Hijacking with Misuse
3872,2024,Data theft
3872,2024,Hijacking with Misuse
3869,2024,Disruption
3869,2024,Hijacking with Misuse
3869,2024,Ransomware
3853,2024,Hijacking without Misuse
3852,2024,Disruption
3851,2024,Disruption
3841,2024,Hijacking with Misuse
3841,2024,Ransomware
3839,2023,Hijacking with Misuse
3831,2024,Hijacking with Misuse
3830,2024,Data theft
3830,2024,Disruption
3830,2024,Hijacking with Misuse
3829,2024,Disruption
3828,2024,Data theft
3828,2024,Hijacking with Misuse
3827,2024,Disruption
3827,2024,Hijacking without Misuse
3827,2024,Ransomware
3823,2024,Hijacking with Misuse
3822,2024,Disruption
3822,2024,Hijacking with Misuse
3822,2024,Ransomware
3818,2024,Disruption
3817,2024,Hijacking with Misuse
3815,2024,Hijacking with Misuse
3796,2024,Hijacking without Misuse
3795,2022,Data theft
3795,2022,Hijacking without Misuse
3794,2024,Hijacking with Misuse
3792,2024,Disruption
3789,2024,Disruption
3788,2024,Disruption
3788,2024,Hijacking with Misuse
3788,2024,Ransomware
3787,2024,Disruption
3786,2024,Hijacking with Misuse
3785,2024,Data theft
3785,2024,Hijacking with Misuse
3784,2024,Data theft
3784,2024,Hijacking with Misuse
3781,2024,Disruption
3779,2024,Disruption
3779,2024,Hijacking with Misuse
3778,2024,Data theft
3778,2024,Hijacking with Misuse
3777,2024,Hijacking with Misuse
3776,2024,Hijacking without Misuse
3775,2024,Disruption
3775,2024,Hijacking with Misuse
3775,2024,Ransomware
3774,2024,Data theft
3774,2024,Hijacking with Misuse
3774,2024,Ransomware
3773,2024,Data theft & Doxing
3773,2024,Hijacking with Misuse
3771,2024,Hijacking without Misuse
3770,2023,Data theft
3769,2023,Data theft & Doxing
3769,2023,Hijacking with Misuse
3768,2024,Hijacking without Misuse
3767,2024,Disruption
3767,2024,Hijacking with Misuse
3767,2024,Ransomware
3766,2024,Hijacking without Misuse
3765,2024,Data theft
3765,2024,Hijacking with Misuse
3764,2024,Hijacking without Misuse
3763,2024,Hijacking without Misuse
3762,2024,Hijacking without Misuse
3761,2024,Data theft
3761,2024,Hijacking with Misuse
3761,2024,Ransomware
3760,2024,Data theft & Doxing
3760,2024,Hijacking with Misuse
3760,2024,Ransomware
3759,2024,Disruption
3758,2024,Disruption
3757,2024,Data theft
3757,2024,Hijacking with Misuse
3757,2024,Ransomware
3756,2024,Disruption
3756,2024,Hijacking with Misuse
3756,2024,Ransomware
3754,2024,Disruption
3753,2024,Disruption
3753,2024,Hijacking with Misuse
3753,2024,Ransomware
3751,2024,Hijacking with Misuse
3750,2024,Disruption
3750,2024,Hijacking without Misuse
3749,2024,Hijacking without Misuse
3748,2024,Data theft
3748,2024,Hijacking with Misuse
3747,2022,Data theft
3747,2022,Disruption
3747,2022,Hijacking with Misuse
3747,2022,Ransomware
3746,2024,Hijacking without Misuse
3745,2023,Data theft
3745,2023,Hijacking with Misuse
3744,2024,Disruption
3744,2024,Hijacking with Misuse
3743,2024,Data theft
3743,2024,Hijacking with Misuse
3742,2024,Data theft
3742,2024,Hijacking with Misuse
3741,2024,Data theft
3741,2024,Hijacking with Misuse
3740,2024,Hijacking without Misuse
3739,2024,Data theft & Doxing
3739,2024,Hijacking with Misuse
3738,2024,Disruption
3737,2024,Data theft
